"no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF","no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF",
0.7928,0.8750,1.0299,2.8103,1.9950,1.0839,218.6143,622.1754,789.6151,369.8936,428.6995,391.4408,1.0000
0.9451,2.1125,5.2132,2.4375,6.9331,1.9386,338.9195,530.1509,950.3213,438.1264,1033.3678,628.0111,1.0000
0.7190,1.6806,4.4767,2.3679,3.5906,1.0994,154.4216,1055.3639,857.3990,253.1796,768.0679,163.3996,1.0000
0.8265,1.3571,1.3509,1.6160,9.2594,1.2584,1095.3160,733.5026,541.3734,305.2520,682.7769,338.0217,1.0000
0.6028,2.4684,3.6881,1.7121,3.4859,1.5572,187.1913,213.2275,1253.7777,210.5341,700.7329,972.7663,1.0000
0.8319,1.0559,0.9459,2.5129,1.3551,1.3791,245.5483,814.3046,270.2378,171.4798,461.4692,309.2921,1.0000
0.8471,3.5986,3.9163,1.7585,1.6416,1.0867,256.7708,1261.4090,465.9582,257.2197,283.2559,711.0576,1.0000
1.0198,0.8943,1.6765,1.8635,8.9630,1.7431,1350.2912,196.1693,251.3840,266.6466,771.6591,176.4177,1.0000
0.9871,1.2431,4.5195,1.8972,1.3628,1.3830,1127.1879,859.6435,292.6828,412.5391,295.8251,303.0075,1.0000
0.8550,1.1788,1.3506,1.8805,1.1176,2.3982,171.9287,472.2428,685.9192,317.8212,238.8148,269.3400,1.0000
1.3054,0.8141,1.0787,1.6786,8.7388,2.7296,467.3049,172.3776,960.6460,189.4358,645.9671,460.5714,1.0000
1.0336,1.1407,1.0802,3.1531,2.3649,1.4603,152.6260,932.3653,237.9170,272.4823,588.0590,614.0952,1.0000
0.9442,0.8677,1.3350,1.5100,4.4031,1.0482,499.1768,346.9997,191.6803,279.2158,319.6168,247.7928,1.0000
0.7792,1.2708,1.0578,1.5971,1.1871,1.4919,1347.1489,566.9607,786.9217,326.3503,293.1317,365.8535,1.0000
0.7471,3.2045,1.3368,2.2530,1.5505,1.3241,702.0796,235.6725,567.8585,675.5945,369.4447,473.1406,1.0000
3.1881,0.8710,0.7679,1.8964,1.1633,2.1332,576.3876,307.4965,227.5923,185.8446,1021.6964,478.9763,1.0000
4.2031,1.1955,0.8090,2.4574,1.1761,1.5936,1366.4516,559.7783,400.4188,172.8265,1000.1492,553.9426,1.0000
1.2572,1.7444,0.8086,3.1936,1.0423,6.3108,429.5973,945.3834,500.9724,445.7577,288.1938,513.0927,1.0000
1.0367,1.3833,1.6935,1.1700,1.3044,1.6641,335.3283,1156.8153,675.5945,179.5600,1137.5126,498.2790,1.0000
0.7173,3.0814,1.0008,1.1039,1.9978,1.1475,475.8340,171.4798,679.6346,232.0813,1075.1155,1322.9083,1.0000
0.6487,9.6611,1.1074,1.6410,2.7735,1.1459,581.7744,243.3038,516.2350,192.1292,846.6254,256.3219,1.0000
0.7297,2.7252,1.7974,1.6085,2.2345,15.9268,266.1977,544.5157,1228.1904,267.0955,652.7006,634.7446,1.0000
1.2279,1.7027,6.5632,2.0548,1.1977,11.0523,838.0963,413.4369,866.8259,256.7708,986.6822,324.1058,1.0000
1.2978,1.5119,6.5538,2.1532,2.4625,2.0847,679.1857,719.5867,1155.9175,220.4099,560.6761,189.8847,1.0000
0.9993,2.8114,1.7367,1.8014,2.8889,1.6381,1201.2564,168.7864,624.8688,171.9287,418.8237,387.8496,1.0000
0.9080,1.0682,9.4130,1.7284,2.0096,0.9240,254.0774,438.5753,956.6059,207.8407,366.7513,342.0618,1.0000
0.8623,0.8673,1.0661,3.2224,1.1344,2.4212,789.1662,347.8975,272.4823,153.0749,1106.5385,205.5962,1.0000
1.1813,1.2755,1.1221,3.3528,1.2244,1.3326,611.8507,1315.2770,402.2144,319.6168,876.7017,512.6438,1.0000
0.8842,1.1573,1.7789,3.0324,1.1834,1.9892,155.3194,969.1751,463.2648,259.9131,830.0161,605.1172,1.0000
1.3264,0.8425,1.1919,1.5366,1.1821,9.4275,378.8716,588.0590,276.0735,219.5121,860.5413,856.5012,1.0000
1.5061,0.6463,1.5555,2.4825,6.5010,1.6797,171.9287,1177.4647,775.2503,354.6310,1453.5382,991.6201,1.0000
