"no stimulus","10 min","15 min","30 min","1h","no stimulus","10 min","15 min","30 min","1h",
0.9826,1.2371,1.0795,0.6786,1.5453,836.7496,156.6661,934.1609,298.0696,520.2751,1.0000
0.6505,4.4700,1.1259,0.8043,8.3084,482.1186,273.8290,728.1158,295.8251,1011.3717,1.0000
0.9481,2.0163,0.7892,0.6168,1.1138,1002.8426,353.2843,582.6722,415.6814,551.2492,1.0000
0.9665,4.1973,1.0067,0.8004,1.0859,420.1704,200.6583,623.0732,381.5650,1191.3806,1.0000
1.0996,6.1731,4.1652,0.6837,1.2600,689.5104,609.6062,323.2080,216.8187,601.0771,1.0000
0.8383,6.6610,1.5579,1.0484,2.8120,362.2623,184.4979,544.9646,689.9593,398.1743,1.0000
0.7457,1.2265,1.1025,0.5461,0.6212,360.0178,184.9468,155.3194,479.8741,173.2754,1.0000
0.6711,1.1279,1.7799,0.5435,1.8781,338.0217,342.9596,190.7825,922.0406,616.7886,1.0000
0.9848,1.4263,0.6536,0.5823,1.1330,598.3837,510.8482,289.9894,298.0696,708.3642,1.0000
0.7561,4.3115,1.9142,0.6160,11.2355,685.0214,338.0217,353.7332,712.8532,872.6616,1.0000
0.9133,3.9323,1.0720,0.4700,2.9411,1205.2965,849.3188,400.8677,182.7023,499.1768,1.0000
0.9493,1.6393,5.7500,6.5267,1.1077,943.1389,509.9504,1187.7894,211.4319,467.3049,1.0000
1.0071,4.4900,0.9350,6.1775,2.6877,660.7808,245.0994,522.5196,273.8290,1274.8760,1.0000
3.0996,1.0687,5.8045,2.4028,1.5414,745.6229,538.6800,625.7666,1335.9264,1115.0676,1.0000
2.5653,2.0983,8.6035,0.6260,6.3755,676.4923,212.3297,607.3617,461.0203,590.3035,1.0000
2.1231,3.3547,1.3182,0.7517,0.8232,977.7042,423.7616,462.8159,313.3322,452.9401,1.0000
0.7019,0.7697,1.2081,4.8785,1.4671,1224.1503,784.6772,628.9089,327.2481,408.0501,1.0000
0.8832,2.4481,1.0682,1.7790,1.2617,876.2528,743.3784,778.3926,438.1264,278.7669,1.0000
0.9753,0.9663,0.9298,1.9453,0.9851,711.9554,243.3038,403.1122,298.0696,642.3759,1.0000
1.6216,1.4423,1.2169,6.9027,1.4849,312.4344,349.6931,429.5973,1075.5644,601.9749,1.0000
0.8019,3.6820,1.4350,2.0689,1.2605,601.5260,637.4380,524.7641,446.6555,379.3205,1.0000
0.9594,1.0912,0.8400,4.8764,8.0515,984.4377,536.4355,681.4302,172.8265,1038.3057,1.0000
0.9139,1.4456,8.4741,2.3380,1.0778,930.1208,164.2974,603.3216,449.7978,882.9863,1.0000
0.8773,1.2412,1.2245,6.4941,6.8688,1186.4427,801.7354,984.8866,505.0125,716.4444,1.0000
0.9378,1.3029,1.4171,3.8003,1.2731,269.3400,485.7098,363.6090,787.8195,338.9195,1.0000
0.8577,10.8728,0.6327,3.8311,1.0082,871.3149,470.8961,702.5285,214.5742,893.7599,1.0000
1.8071,8.2661,0.8730,1.8722,1.0209,1338.6198,167.4397,1289.2408,220.8588,807.1222,1.0000
0.7964,1.5895,2.9761,3.9657,0.9570,534.1910,503.6658,226.6945,363.6090,518.9284,1.0000
1.0118,1.3286,4.0676,0.7466,0.9881,935.5076,510.3993,307.4965,219.5121,570.5519,1.0000
0.9220,4.5593,0.9495,0.4318,1.1169,761.7833,401.7655,1316.6237,203.3517,544.0668,1.0000
1.1616,1.0999,2.1314,0.6152,1.6364,610.0551,292.2339,163.8485,924.7340,319.1679,1.0000
0.9433,1.2853,0.8498,0.4861,0.7808,378.8716,451.1445,678.7368,622.6243,757.7432,1.0000
1.0638,3.0872,1.3223,7.3785,1.2894,297.6207,262.1576,893.7599,1049.0793,521.1729,1.0000
0.9580,1.2378,5.9335,1.2330,4.8544,440.3709,391.4408,397.7254,220.8588,832.2606,1.0000
0.8472,1.5676,0.9650,3.1998,8.0715,194.3737,799.0420,657.1896,882.9863,295.3762,1.0000
0.7046,1.7338,1.0258,1.1039,0.7431,693.5505,161.1551,1138.8593,650.9050,1239.8618,1.0000
1.0328,0.9448,1.1785,2.5390,1.3940,518.4795,567.4096,369.4447,782.4327,347.4486,1.0000
0.8162,2.7744,1.2482,0.9040,7.5615,150.8304,759.0899,788.2684,368.9958,172.8265,1.0000
0.9923,2.3630,1.6994,0.5369,1.1878,364.9557,722.2801,545.4135,592.9969,518.0306,1.0000
1.0756,1.8682,4.4212,0.7835,9.5394,708.8131,846.1765,768.5168,486.1587,1078.7067,1.0000
1.1624,1.6665,1.1229,0.5371,6.1797,914.8582,891.0665,612.2996,270.2378,1056.2617,1.0000
0.9494,5.0626,2.3009,4.2830,1.2934,322.7591,375.2804,375.2804,1010.4739,874.9061,1.0000
0.9343,1.5790,1.8427,1.0476,2.0498,562.9206,942.6900,567.8585,549.4536,625.3177,1.0000
0.7333,1.0879,1.6758,0.5965,1.5509,268.8911,695.3461,224.0011,333.5327,588.0590,1.0000
1.2292,0.9809,1.1217,0.9393,2.0987,850.2166,614.9930,450.2467,752.8053,582.2233,1.0000
0.9777,3.5939,1.5105,1.4007,5.3520,395.9298,222.6544,428.2506,188.0891,310.1899,1.0000
1.1054,2.0267,1.8320,1.0949,1.3199,626.6644,320.5146,404.0100,360.4667,565.6140,1.0000
1.0853,4.0769,1.3428,1.5827,8.2136,755.4987,496.4834,212.7786,496.4834,569.6541,1.0000
1.2040,1.3183,10.5917,1.6195,1.0273,595.6903,191.2314,689.9593,527.4575,307.0476,1.0000
1.1575,1.3394,1.6641,4.6502,6.9805,530.1509,875.3550,469.5494,311.9855,395.0320,1.0000
0.7797,2.2140,1.7835,1.8632,1.4760,372.5870,362.2623,435.4330,280.1136,480.7719,1.0000
0.7216,5.4258,11.4481,1.4730,1.6641,246.8950,661.2297,185.3957,373.0359,328.1459,1.0000
0.9155,1.3740,7.9746,7.3186,0.9429,1497.0815,843.4831,681.4302,239.2637,421.9660,1.0000
0.9858,1.2727,13.4786,2.3378,1.0503,776.1481,310.6388,418.3748,384.7073,426.0061,1.0000
0.8323,4.3233,1.1883,1.6433,7.1468,355.0799,156.6661,300.7630,343.8574,172.8265,1.0000
0.6316,1.2757,2.4297,1.4795,12.4747,900.9423,431.3929,402.6633,350.1420,303.9053,1.0000
0.8317,6.6955,7.7585,7.6304,1.4397,992.0690,1089.0314,320.9635,357.3244,614.0952,1.0000
0.9245,1.6047,3.6513,3.7471,1.3688,735.7471,579.0810,269.3400,1311.6858,871.7638,1.0000
0.9236,6.3942,4.0994,1.4989,0.7904,834.9540,484.3631,180.0089,749.2141,477.1807,1.0000
0.9054,2.9850,1.2024,7.5563,4.6229,860.9902,602.8727,342.5107,447.1044,759.9877,1.0000
0.7273,3.6288,5.9493,9.4382,2.0350,336.2261,316.4745,562.4717,596.1392,485.2609,1.0000
0.9535,9.9599,3.3818,6.2163,5.2196,605.1172,546.3113,359.1200,836.7496,192.1292,1.0000
0.7958,5.9777,4.5458,1.4285,5.8024,537.7822,442.6154,633.8468,343.4085,685.0214,1.0000
0.9647,2.5912,1.5900,2.1494,0.8706,584.0189,434.5352,157.5639,276.5224,706.1197,1.0000
0.8102,7.0986,2.0131,1.2164,1.0608,707.4664,413.8858,379.3205,686.8170,786.0239,1.0000
0.9171,1.7128,2.6506,0.9735,4.8960,799.9398,342.5107,448.0022,620.3798,792.7574,1.0000
1.0019,2.1339,0.9011,0.9712,0.9502,447.1044,410.7435,1021.6964,934.1609,786.0239,1.0000
1.0731,2.3042,2.8365,2.0832,0.8908,473.5895,284.1537,371.6892,346.9997,419.7215,1.0000
1.2899,1.2603,0.6856,0.6123,0.8988,606.0150,497.8301,1002.8426,468.6516,763.1300,1.0000
0.6603,4.4143,4.5612,0.9524,0.9091,489.7499,682.3280,1228.1904,659.8830,678.2879,1.0000
0.8822,4.1991,1.1618,0.6984,0.7482,848.4210,483.9142,1263.6535,892.8621,579.5299,1.0000
0.9368,3.1709,1.4358,1.1069,0.6389,801.2865,197.5160,894.6577,647.3138,670.6566,1.0000
0.7558,1.2269,5.4516,3.7216,1.1308,500.5235,422.4149,984.4377,569.6541,1407.7504,1.0000
0.6718,1.3818,0.6801,0.8403,0.9767,724.5246,538.2311,799.9398,720.9334,670.6566,1.0000
0.6536,2.2239,1.0171,1.4440,0.9315,802.1843,584.9167,825.5271,518.4795,582.6722,1.0000
0.9546,5.4993,3.1758,0.8493,1.1996,509.0526,610.9529,648.2116,925.1829,268.8911,1.0000
0.8423,3.3958,0.9357,0.9478,1.5659,314.6789,274.7268,184.4979,608.2595,404.4589,1.0000
0.8175,0.9538,1.3502,1.2847,2.1905,774.8014,1248.8398,226.6945,473.1406,641.0292,1.0000
0.6087,4.0359,1.1137,1.1831,1.5065,544.5157,1444.5602,336.2261,725.8713,577.2854,1.0000
0.8921,1.6480,6.1589,1.1676,5.6663,598.8326,336.2261,233.4280,301.6608,269.7889,1.0000
1.0656,1.2064,1.5658,2.0422,0.8998,676.4923,584.9167,209.1874,416.5792,717.3422,1.0000
1.1279,1.5997,1.9168,3.2155,1.4004,443.9621,549.0047,251.8329,997.0069,295.3762,1.0000
0.8487,2.8076,7.3285,0.7434,1.1788,303.9053,785.1261,399.0721,709.2620,395.0320,1.0000
0.8369,1.6473,7.0181,5.7038,0.9579,604.2194,456.5313,405.8056,983.0910,610.5040,1.0000
0.6469,2.5458,7.7591,3.4569,0.9839,473.5895,328.1459,450.2467,555.2893,393.2364,1.0000
0.8588,0.5688,1.3712,1.2589,0.9243,500.9724,1035.6123,501.4213,508.1548,728.1158,1.0000
0.6633,2.4201,2.1706,2.7446,0.9517,552.5959,550.8003,430.9440,1269.9381,688.6126,1.0000
0.8003,4.4867,7.2630,1.8158,1.0083,603.3216,464.6115,274.2779,783.3305,432.2907,1.0000
0.9143,2.4689,1.7118,5.8090,5.3088,697.1417,705.2219,433.1885,277.8691,259.0153,1.0000
1.0952,1.7270,1.6098,1.7825,0.7736,1227.2926,777.0459,411.1924,451.1445,478.5274,1.0000
1.0697,1.4529,10.6840,1.5044,1.2713,183.6001,411.1924,403.1122,642.3759,519.3773,1.0000
0.8454,1.7515,2.0876,1.3537,1.5917,264.8510,445.3088,470.4472,780.6371,610.0551,1.0000
